HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2021,NOC21,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,PID,HHSIZE,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
93309,933091,9330911,933091101,2,3,1,1,0,13,7,99999999,49000,3,7,2,1,3,5,0,4,1,3,1,2,9,99999999,59,99999999,2,0,9,5b4cbc89,3,108120,3098,4_FailSafe,10471,3_Constraints
106752,1067521,10675211,1067521102,2,2,1,1,0,9,7,7000,27000,3,7,1,1,2,11,0,4,1,2,2,1,6,1,35,600000,1,0,2,98628636,4,108120,9652,3_Constraints,1900,5_Random
96217,962171,9621711,962171102,2,6,1,1,0,10,99,99999999,20000,2,5,1,2,1,4,0,4,1,4,2,9,9,99999999,35,410000,1,0,9,69130912,2,108120,4656,3_Constraints,7913,4_FailSafe
93414,934141,9341411,934141101,2,4,1,1,0,10,99,99999999,32000,2,5,3,1,3,4,0,4,1,4,1,9,9,99999999,35,99999999,1,0,9,fc908d90,3,108193,3098,4_FailSafe,4153,4_FailSafe
32967,329671,3296711,329671102,2,4,1,2,0,1,5,30000,35000,4,9,1,1,2,2,0,4,1,1,2,2,1,3000,24,130000,1,7,9,28a0534d,3,108193,3098,4_FailSafe,4153,4_FailSafe
93593,935931,9359311,935931101,2,6,2,1,0,4,99,2000,100000,5,11,1,2,1,5,0,3,1,4,1,9,9,25000,35,850000,1,0,9,321190fe,2,108317,12425,3_Constraints,5599,3_Constraints
73708,737081,7370811,737081102,1,5,1,1,0,1,99,99999999,9000,1,2,2,2,1,8,1,2,1,4,2,9,9,3000,59,560000,3,0,9,3cb405a7,2,108317,7358,3_Constraints,7913,3_Constraints
93820,938201,9382011,938201101,2,5,2,1,0,8,8,120000,110000,3,6,1,2,1,5,0,4,1,1,1,1,5,26000,35,650000,1,6,2,8bfa480c,2,108471,5056,2_Core,7913,4_FailSafe
4678,46781,467811,46781102,1,4,1,1,0,3,7,31000,44000,3,4,3,2,2,5,0,1,3,2,2,1,9,5000,35,800000,1,0,9,8720a36d,3,108471,3098,4_FailSafe,4153,4_FailSafe
93864,938641,9386411,938641101,2,6,1,1,0,13,99,99999999,24000,2,4,2,3,3,1,0,3,1,4,1,9,9,99999999,35,99999999,1,0,9,85f2b5ab,2,108498,4656,3_Constraints,7913,4_FailSafe
147338,1473381,14733811,1473381102,1,2,1,3,0,10,4,100000,100000,2,4,2,1,1,3,1,4,1,1,2,1,5,24000,24,99999999,1,3,2,7d16af91,2,108498,1495,4_FailSafe,7913,4_FailSafe
15990,159901,1599011,159901104,2,7,2,1,8,5,2,35000,49000,4,9,1,1,4,5,0,4,1,2,2,1,4,4000,46,400000,2,0,2,10bd34f2,4,108685,7407,4_FailSafe,1900,5_Random
130502,1305021,13050212,1305021205,1,7,1,1,8,9,88,28000,41000,4,8,1,2,2,7,0,1,2,1,2,1,4,1,48,370000,1,3,6,f6660f87,5,108685,12979,5_Random,11595,4_FailSafe
94273,942731,9427311,942731101,1,4,2,1,0,6,3,62000,63000,2,3,2,2,1,4,0,1,2,1,1,1,4,8000,35,99999999,1,5,2,4378927e,2,108785,6889,3_Constraints,7913,4_FailSafe
94688,946881,9468811,946881101,2,2,1,2,0,13,7,24000,38000,3,6,1,1,2,6,0,4,1,1,1,1,5,99999999,24,99999999,1,5,2,9eb385ba,4,109070,9652,3_Constraints,1900,5_Random
5782,57821,578211,57821102,2,3,2,1,0,8,8,-16000,-14000,4,9,1,2,2,4,0,4,1,1,2,3,2,99999999,35,600000,1,8,2,26c5fa99,5,109070,12979,5_Random,11595,4_FailSafe
27916,279161,2791611,279161102,1,3,1,3,0,5,2,36000,44000,3,4,3,2,2,9,0,1,3,1,2,1,6,5000,24,390000,1,4,2,d0d6a17b,3,109070,3098,4_FailSafe,10471,3_Constraints
95076,950761,9507611,950761101,2,6,2,3,0,3,99,99999999,57000,3,8,1,1,1,2,0,4,1,4,1,9,9,11000,24,350000,1,0,9,c2f80442,2,109354,12425,3_Constraints,5599,3_Constraints
95315,953151,9531511,953151101,1,7,2,3,1,88,88,37000,37000,2,4,2,2,2,6,0,8,8,3,1,1,9,5000,24,99999999,1,0,9,616b1ed1,3,109529,3098,4_FailSafe,4153,4_FailSafe
141068,1410681,14106811,1410681103,2,1,1,1,8,13,88,6000,10000,4,11,1,1,4,7,0,4,1,4,2,1,9,99999999,10,250000,2,0,9,595a944b,4,109529,7407,4_FailSafe,1900,5_Random
