HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2011,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
70080,700801,7008011,70080114,2,1,1,2,2,13,99,0,2,5,11,1,2,4,5,0,4,1,5,2,9,9,0,24,120000,1,0,9,4,4,4,7236bf49,88681,14100,3_Constraints,2108,3_Constraints
48362,483621,4836211,48362112,2,7,1,1,1,13,99,0,4,3,8,1,1,2,4,0,1,2,5,2,9,9,0,35,150000,1,0,9,3,3,3,efdd1405,88681,10761,3_Constraints,521,4_FailSafe
74787,747871,7478711,74787111,2,5,1,1,1,13,99,0,1,5,11,1,1,1,5,0,4,1,4,1,9,9,0,59,280000,2,0,9,6,6,2,4f7eee52,88687,590,4_FailSafe,9566,4_FailSafe
18272,182721,1827211,18272112,2,5,1,1,1,13,99,0,2,3,7,1,1,2,3,0,4,1,4,2,9,9,0,46,250000,2,0,9,3,3,3,9c7e9441,88687,14246,3_Constraints,15267,3_Constraints
63485,634851,6348511,63485112,1,2,1,1,1,5,99,0,3,4,6,4,1,2,5,0,1,3,4,2,9,9,0,35,460000,1,0,9,3,3,3,fc289848,88687,1905,3_Constraints,7981,3_Constraints
74813,748131,7481311,74813111,2,7,2,1,1,11,99,0,4,2,4,2,1,1,10,1,3,1,4,1,9,9,0,59,380000,1,0,9,2,2,2,03c4e02c,88712,14948,3_Constraints,11820,3_Constraints
12672,126721,1267211,12672115,2,1,2,2,2,13,99,1000,2,4,7,1,2,4,6,0,4,1,1,2,1,4,0,24,250000,1,2,7,5,5,5,69d444cc,88712,387,3_Constraints,3143,4_FailSafe
74833,748331,7483311,74833111,1,5,1,3,1,1,99,0,9,2,5,6,3,3,9,1,4,1,4,1,9,9,15000,24,400000,1,0,9,2,2,2,b3beba7d,88726,10479,3_Constraints,8706,3_Constraints
123435,1234351,12343511,123435112,2,4,1,1,1,10,4,36000,7,5,10,1,1,2,4,0,4,1,1,2,1,4,4000,10,574615,2,5,2,4,4,4,61fa6691,88726,4603,2_Core,3609,3_Constraints
74887,748871,7488711,74887111,1,5,2,2,1,5,99,0,7,3,8,3,1,1,6,0,4,1,4,1,9,9,5000,24,140000,1,0,9,2,2,2,9311b8db,88761,12783,3_Constraints,10877,3_Constraints
