HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
79603,796031,7960311,796031102,2,3,1,1,1,13,8,3000,3,3,3,3,3,1,3,9,4,1,1,2,1,4,0,35,0,2,4,5,4,4,4,bf36e363,64182,18200.0,3_Constraints,2299.0,3_Constraints
18042,180421,1804211,180421102,1,5,2,3,1,13,1,83000,11,3,3,2,2,1,3,0,4,1,1,2,1,2,32000,24,140000,1,7,2,5,5,5,cddfaf68,38433,7314.0,4_FailSafe,9014.0,3_Constraints
100878,1008781,10087811,1008781103,2,1,2,3,2,13,2,5000,3,2,4,1,1,4,3,0,3,1,1,2,1,4,0,10,160000,1,6,2,3,3,3,5d60e379,63560,13882.0,3_Constraints,5878.0,3_Constraints
4189,41891,418911,41891102,1,1,1,1,2,13,99,0,1,2,2,2,1,4,2,9,4,1,5,2,9,9,0,46,0,2,0,9,2,2,2,158d9a04,50100,9023.0,3_Constraints,11468.0,3_Constraints
29062,290621,2906211,290621101,1,5,2,1,1,4,5,834147,12,2,4,1,2,1,1,0,4,1,1,1,3,6,426337,35,1006598,1,8,6,3,3,3,1663f524,54506,16042.0,3_Constraints,12316.0,3_Constraints
23281,232811,2328111,232811101,2,6,2,1,1,13,99,0,7,2,3,1,2,1,3,0,4,1,4,1,9,9,1000,35,170000,1,0,9,2,2,2,1032cc76,51067,18109.0,3_Constraints,1737.0,3_Constraints
75233,752331,7523311,752331101,2,2,1,1,1,7,1,50000,9,2,2,2,1,5,3,1,4,1,1,3,1,4,9000,35,160000,1,6,7,1,1,1,6672ed78,22684,12843.0,3_Constraints,7737.0,3_Constraints
81000,810001,8100011,810001101,2,3,2,1,1,10,1,74000,10,3,4,1,2,1,3,0,4,1,1,1,1,4,14000,46,250000,1,5,2,2,2,2,496bad83,85388,9160.0,3_Constraints,1271.0,3_Constraints
109176,1091761,10917611,1091761101,1,7,2,3,1,13,99,0,5,2,3,2,2,1,1,0,1,3,4,1,9,9,1000,24,270000,3,0,9,3,3,3,451acc18,102280,8401.0,3_Constraints,7879.0,3_Constraints
45854,458541,4585411,458541101,1,2,1,1,1,13,7,6000,3,1,1,2,1,5,1,9,3,1,1,3,1,4,0,35,0,1,5,6,1,1,1,9ff869dd,13757,7376.0,3_Constraints,2605.0,3_Constraints
