occID,SURVMNTH,AGEGRP,SEX,MARSTH,HHSIZE,PR,CMA,LFTAG,WKSWRK,NOCS,COW,HRSWRK,CTW_140A,CTW_140B,CTW_140C,CTW_140D,CTW_140E,CTW_140F,CTW_140G,CTW_140H,CTW_140I,EHG_ALL,KOL,TOTINC,WGHT_PER,DDAY,HRSWRK_RAW,TOTINC_RAW,TOTINC_SOURCE,CYCLE_YEAR,SURVYEAR,COLLECT_MODE,TUI_10_AVAIL,BS_TYPE
17437,1,5,1,6,1,24,1,3,,,,,6,6,6,6,6,6,6,6,6,1,2.0,1,1207.8805,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17438,3,5,1,1,2,35,1,1,52,10,1,5.0,1,2,2,2,2,2,2,2,2,6,1.0,3,1098.4068,2,46.0,3,SELF,2015,2015,0,1,STANDARD_BS
17439,2,3,2,1,3,35,1,3,,7,,4.0,6,6,6,6,6,6,6,6,6,4,1.0,3,1298.9093,1,40.0,3,SELF,2015,2015,0,1,STANDARD_BS
17440,8,6,1,1,2,35,2,3,,,,,6,6,6,6,6,6,6,6,6,2,1.0,3,1590.0115,3,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
17441,10,4,2,1,4,35,1,1,52,2,1,4.0,1,2,2,2,2,2,2,2,2,3,1.0,4,3182.0633,1,44.0,4,SELF,2015,2015,0,1,STANDARD_BS
17442,1,5,1,1,2,24,1,1,47,1,1,3.0,6,6,6,6,6,6,6,6,6,4,3.0,5,1641.0069,1,37.5,6,SELF,2015,2015,0,1,STANDARD_BS
17443,5,6,2,2,2,24,1,3,,,,,6,6,6,6,6,6,6,6,6,1,2.0,1,1373.2052,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17444,4,2,2,2,4,48,1,3,,2,,8.0,6,6,6,6,6,6,6,6,6,4,1.0,2,2420.6561,3,60.0,2,SELF,2015,2015,0,1,STANDARD_BS
17445,7,5,2,1,2,35,1,1,52,10,1,4.0,1,2,2,2,2,2,2,2,2,2,1.0,3,1466.1398,1,42.0,3,SELF,2015,2015,0,1,STANDARD_BS
17446,4,7,1,1,2,24,1,3,,,,,6,6,6,6,6,6,6,6,6,6,2.0,5,1468.6132,1,99.6,5,SELF,2015,2015,0,1,STANDARD_BS
17447,5,6,2,1,2,12,2,3,,,,,6,6,6,6,6,6,6,6,6,4,1.0,1,819.9227,2,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17448,12,7,2,3,1,59,1,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,2,476.0229,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17449,7,3,1,1,3,35,1,1,52,9,1,6.0,1,2,2,2,2,2,2,2,2,2,1.0,2,2491.1035,2,50.0,2,SELF,2015,2015,0,1,STANDARD_BS
17450,6,5,2,1,2,47,1,3,,,,,6,6,6,6,6,6,6,6,6,6,1.0,2,514.8189,3,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17451,4,5,1,4,3,24,1,1,52,7,1,5.0,1,2,2,2,2,2,2,2,2,4,3.0,4,1523.2757,1,45.0,4,SELF,2015,2015,0,1,STANDARD_BS
17452,7,6,2,1,2,12,1,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,1,615.0907,2,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17453,3,4,2,2,4,35,1,3,,,,,6,6,6,6,6,6,6,6,6,2,1.0,1,2069.637,3,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17454,10,4,2,5,1,12,1,1,52,5,1,3.0,1,2,2,2,2,2,2,2,2,6,1.0,3,470.0801,1,35.0,3,SELF,2015,2015,0,1,STANDARD_BS
17455,10,4,2,1,2,59,1,1,52,5,1,7.0,1,2,2,2,2,2,2,2,2,4,1.0,4,884.1352,1,55.0,4,SELF,2015,2015,0,1,STANDARD_BS
17456,9,7,2,3,1,48,2,3,52,5,,1.0,6,6,6,6,6,6,6,6,6,3,1.0,2,1420.03,1,1.0,2,SELF,2015,2015,0,1,STANDARD_BS
17457,6,4,1,2,3,48,1,1,52,8,1,5.0,1,2,2,2,2,2,2,2,2,3,1.0,4,2621.8552,1,45.0,4,SELF,2015,2015,0,1,STANDARD_BS
17458,3,7,1,1,2,24,1,3,,,,,6,6,6,6,6,6,6,6,6,2,3.0,2,1404.0708,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17459,4,5,2,6,1,24,1,3,,,,,6,6,6,6,6,6,6,6,6,4,2.0,3,985.0751,1,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
17460,7,6,1,1,2,12,1,1,12,9,1,8.0,1,2,2,2,2,2,2,2,2,3,1.0,3,702.245,1,60.0,3,SELF,2015,2015,0,1,STANDARD_BS
17461,2,7,2,4,1,24,2,3,,,,,6,6,6,6,6,6,6,6,6,2,3.0,1,641.8989,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17462,3,1,2,6,5,24,1,2,,,,,2,2,2,1,2,2,2,2,2,4,3.0,1,5569.5094,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17463,2,4,1,1,4,13,1,3,12,7,,8.0,6,6,6,6,6,6,6,6,6,6,3.0,1,684.7813,1,60.0,1,SELF,2015,2015,0,1,STANDARD_BS
17464,4,4,2,1,4,59,1,1,52,1,1,4.0,1,2,2,2,1,2,2,2,2,6,1.0,5,524.0379,3,40.0,5,SELF,2015,2015,0,1,STANDARD_BS
17465,2,3,2,1,5,46,2,1,52,4,1,1.0,1,2,2,2,2,2,2,2,2,4,1.0,3,396.6113,3,20.0,3,SELF,2015,2015,0,1,STANDARD_BS
17466,8,3,2,1,1,59,1,,,,,,6,6,6,6,6,6,6,6,6,99,,4,155.997,1,99.6,4,SELF,2015,2015,0,1,STANDARD_BS
17467,12,5,2,5,1,11,3,3,,,,,6,6,6,6,6,6,6,6,6,6,1.0,1,62.2214,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17468,5,4,1,1,4,59,1,1,52,2,1,2.0,1,2,2,2,2,2,2,2,2,6,3.0,5,4075.2723,2,32.0,7,SELF,2015,2015,0,1,STANDARD_BS
17469,1,4,2,6,1,11,3,1,52,7,1,5.0,1,2,2,2,2,2,2,2,2,2,1.0,2,79.8685,1,45.0,2,SELF,2015,2015,0,1,STANDARD_BS
17470,2,3,1,2,5,24,1,1,52,7,1,8.0,1,2,2,2,2,2,2,2,2,6,3.0,2,1899.8602,2,60.0,2,SELF,2015,2015,0,1,STANDARD_BS
17471,6,7,2,1,2,46,1,3,,,,,6,6,6,6,6,6,6,6,6,3,3.0,1,1015.5562,2,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17472,8,5,2,1,5,35,1,3,,,,,6,6,6,6,6,6,6,6,6,2,1.0,5,502.9526,1,99.6,7,SELF,2015,2015,0,1,STANDARD_BS
17473,1,4,2,1,4,35,1,1,52,5,1,6.0,1,2,2,2,2,2,2,2,2,7,1.0,5,4412.1334,1,50.0,7,SELF,2015,2015,0,1,STANDARD_BS
17474,7,5,2,6,1,35,1,1,52,2,1,1.0,1,2,2,2,2,2,2,2,2,6,1.0,1,1189.7175,3,5.0,1,SELF,2015,2015,0,1,STANDARD_BS
17475,12,5,2,1,2,10,1,3,,,,,6,6,6,6,6,6,6,6,6,4,1.0,4,262.3274,1,99.6,4,SELF,2015,2015,0,1,STANDARD_BS
17476,10,7,2,1,2,47,2,3,,2,,1.0,6,6,6,6,6,6,6,6,6,2,1.0,2,611.31,1,8.0,2,SELF,2015,2015,0,1,STANDARD_BS
17477,12,5,2,1,2,10,1,3,,,,,6,6,6,6,6,6,6,6,6,4,1.0,1,232.6672,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17478,2,5,1,1,3,13,1,1,52,4,1,1.0,1,2,2,2,2,2,2,2,2,7,3.0,5,192.4668,3,28.0,7,SELF,2015,2015,0,1,STANDARD_BS
17479,4,6,2,1,2,46,1,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,1,731.6993,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17480,3,5,1,1,2,46,2,3,4,,,1.0,6,6,6,6,6,6,6,6,6,3,1.0,1,615.1538,1,16.0,1,SELF,2015,2015,0,1,STANDARD_BS
17481,1,6,2,2,2,13,2,3,,,,,6,6,6,6,6,6,6,6,6,1,3.0,1,586.3343,2,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17482,4,7,2,3,1,35,1,3,,,,,6,6,6,6,6,6,6,6,6,1,3.0,3,574.1853,3,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
